magnitude,depth_km,lat,lng,dist_to_coast_km,central_pressure_hpa,max_wind_knots,wave_intensity,label
8.5,30.0,-17.88,-70.94,16178.04561624004,,,3.5,tsunami
7.0,31.0,33.0,35.0,9012.481681287287,,,4.0,tsunami
6.4,31.0,35.0,136.8,523.5640022016527,,,1.0,tsunami
8.5,31.0,-37.0,-73.0,17032.49960736583,,,3.5,tsunami
7.0,31.0,35.683,35.8,8765.002618278028,,,6.0,tsunami
7.0,31.0,-6.102,105.423,6151.967938176151,,,3.5,tsunami
7.0,31.0,36.6,30.0,9092.489616366998,,,4.0,tsunami
6.5,31.0,31.6,130.7,1196.8788386350545,,,1.5,tsunami
6.7,31.0,34.8,138.2,460.8997591001452,,,1.0,tsunami
6.8,31.0,33.0,122.5,1769.96168504729,,,1.5,tsunami
7.0,31.0,15.8,121.7,3132.739332106453,,,1.5,tsunami
7.0,31.0,33.4,136.2,694.2377810010336,,,2.0,tsunami
6.6,31.0,36.3,136.0,495.45305638105134,,,1.0,tsunami
7.6,31.0,31.7,132.0,1098.7506763774943,,,2.5,tsunami
6.9,31.0,39.4,140.1,149.13593415486497,,,1.0,tsunami
7.5,31.0,39.0,144.5,312.5639162780336,,,1.0,tsunami
7.2,31.0,35.1,140.5,355.4499521795274,,,1.0,tsunami
8.2,31.0,35.0,136.8,523.5640022016527,,,1.0,tsunami
7.0,31.0,9.9,-62.3,14137.036338775491,,,1.5,tsunami
8.0,31.0,35.0,27.0,9411.594051540853,,,4.0,tsunami
7.9,31.0,35.2,139.3,374.2437601899624,,,1.0,tsunami
6.5,31.0,34.6,135.3,654.5454973126466,,,1.0,tsunami
7.0,31.0,36.8,27.3,9253.602437171934,,,4.0,tsunami
6.8,31.0,40.3,27.8,8954.960497264094,,,4.0,tsunami
7.1,31.0,38.9,22.7,9375.639177642932,,,5.0,tsunami
7.0,31.0,36.4,25.4,9406.273822437981,,,6.0,tsunami
7.1,31.0,40.7,142.0,282.98211555766426,,,1.0,tsunami
7.0,31.0,22.0,92.0,4983.553280176373,,,1.5,tsunami
6.8,31.0,38.3,22.1,9459.881417649147,,,3.0,tsunami
7.4,31.0,35.0,141.5,365.93397915176746,,,3.0,tsunami
6.5,31.0,42.07,140.68,423.6888815898799,,,1.0,tsunami
7.0,31.0,38.1,142.0,87.25057003508417,,,1.0,tsunami
7.7,31.0,37.5,138.0,278.89265148187013,,,1.0,tsunami
6.9,31.0,33.3,131.7,1005.5558636950569,,,2.0,tsunami
8.0,31.0,-38.7,-73.5,17027.599464633164,,,3.5,tsunami
6.5,31.0,32.0,35.5,9048.310451200261,,,3.0,tsunami
7.1,31.0,35.1,139.5,377.6711268360239,,,2.0,tsunami
7.1,31.0,36.0,28.0,9269.349153755049,,,3.0,tsunami
8.4,31.0,33.0,135.0,799.4402571155292,,,3.0,tsunami
7.0,31.0,29.5,34.95,9268.304079685424,,,4.0,tsunami
8.6,31.0,33.0,135.3,781.2700025705537,,,3.0,tsunami
8.6,31.0,38.5,143.8,243.21747331346532,,,4.0,tsunami
8.4,31.0,32.5,134.0,903.3476287409823,,,1.0,tsunami
7.0,31.0,39.7,23.3,9275.868923458904,,,3.0,tsunami
7.3,31.0,38.25,22.25,9454.866326761137,,,5.0,tsunami
8.0,70.0,35.0,23.0,9669.296823802164,,,4.0,tsunami
8.3,31.0,-36.75,-73.0,17026.038482644162,,,3.0,tsunami
8.5,31.0,-39.8,-73.2,17072.088976824394,,,2.5,tsunami
7.9,31.0,33.0,134.9,805.6079719680093,,,3.0,tsunami
8.1,31.0,39.0,144.5,312.5639162780336,,,4.0,tsunami
8.5,30.0,-13.5,-76.5,15410.967878889158,,,3.5,tsunami
7.7,31.0,17.8,-76.7,12642.739746029094,,,1.5,tsunami
8.2,31.0,34.7,139.8,411.6574280295756,,,3.0,tsunami
8.4,31.0,33.2,134.8,795.4567920607623,,,4.0,tsunami
8.0,30.0,-11.996,-77.19800000000001,15240.212916034443,,,3.5,tsunami
6.6,31.0,37.2,138.1,283.3393412297262,,,1.0,tsunami
8.5,31.0,37.0,-10.0,11133.427922404324,,,1.5,tsunami
6.9,31.0,40.9,140.7,293.8988380751706,,,1.0,tsunami
6.5,31.0,37.5,138.1,270.5536336801212,,,1.0,tsunami
7.5,31.0,34.8,131.8,909.4165037930871,,,3.0,tsunami
7.0,31.0,41.0,139.5,330.5713589748026,,,2.5,tsunami
6.8,40.0,-3.75,127.75,4868.213845263867,,,1.5,tsunami
8.3,31.0,34.0,138.1,542.4275967517555,,,4.0,tsunami
6.4,31.0,32.4,130.5,1155.2274512798854,,,2.0,tsunami
